datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;truth
2024-02-29 14:58:24.768338;ff:ff:ff:ff:ff:ff;5e:9c:37:c8:72:ad;;1;-90;116;1480;2417;;;[0, 1, 50, 221, 3];[20722];11.0
2024-02-29 14:58:25.222328;ff:ff:ff:ff:ff:ff;8e:94:20:09:62:ba;;1;-91;117;1801;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:25.292870;ff:ff:ff:ff:ff:ff;40:ec:99:8e:3f:63;Intel Corporate;0;-49;118;2499;2462;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:25.484445;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-54;119;27;2432;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:25.527836;ff:ff:ff:ff:ff:ff;dc:fb:48:f5:c6:c2;Intel Corporate;0;-55;120;29;2437;;;[0, 1, 50, 45, 127, 221];[5271450];11.0
2024-02-29 14:58:30.867934;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-73;121;2323;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:30.888219;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-71;122;2324;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:30.914035;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-70;123;2325;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:30.934242;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-71;124;2326;2427;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:31.054155;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-75;125;2331;2437;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:31.151323;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-76;126;2335;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:31.167982;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-76;127;2336;2452;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
2024-02-29 14:58:31.260776;ff:ff:ff:ff:ff:ff;36:fa:fd:45:dc:1d;;1;-68;128;2340;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];11.0
