datetime;dst;src;src_vendor;randomized;rssi;idx;seq_num;ch_freq;FCfield;ssid;dot11elt;oui;occupancy;n_devices
2025-04-03 13:02:27.148923;ff:ff:ff:ff:ff:ff;02:d5:8e:d2:a1:ab;;1;-86;101;3579;2442;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:27.858606;ff:ff:ff:ff:ff:ff;d2:37:65:6a:83:d8;;1;-86;102;2664;2462;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:27.878807;ff:ff:ff:ff:ff:ff;d2:37:65:6a:83:d8;;1;-86;103;992;2462;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:28.326029;ff:ff:ff:ff:ff:ff;e2:b1:e2:87:1d:06;;1;-61;104;3145;2452;;;[0, 1, 50, 3, 45, 127];[];16.0;nan
2025-04-03 13:02:28.426583;ff:ff:ff:ff:ff:ff;f6:2f:a4:0c:ea:6d;;1;-66;105;3723;2462;;;[0, 1, 50, 3, 45, 127];[];16.0;nan
2025-04-03 13:02:39.044573;ff:ff:ff:ff:ff:ff;2e:9e:02:be:79:96;;1;-76;106;1878;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:39.045823;ff:ff:ff:ff:ff:ff;ce:2a:4d:02:e7:41;;1;-76;107;3790;2422;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:39.542143;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-87;108;640;2417;;;[0, 1, 50, 45, 70, 127];[];16.0;nan
2025-04-03 13:02:39.543082;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-87;109;641;2417;;;[0, 1, 50, 45, 70, 127];[];16.0;nan
2025-04-03 13:02:39.544031;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-88;110;642;2417;;;[0, 1, 50, 45, 70, 127];[];16.0;nan
2025-04-03 13:02:39.544980;ff:ff:ff:ff:ff:ff;00:13:ef:ca:d5:d2;Kingjon Digital Technology Co.,Ltd;0;-88;111;643;2417;;;[0, 1, 50, 45, 70, 127];[];16.0;nan
2025-04-03 13:02:40.919778;ff:ff:ff:ff:ff:ff;a2:0b:84:a6:e3:00;;1;-77;112;189;2447;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:41.079926;ff:ff:ff:ff:ff:ff;a2:0b:84:a6:e3:00;;1;-80;113;191;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:41.103947;ff:ff:ff:ff:ff:ff;a2:0b:84:a6:e3:00;;1;-80;114;192;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:41.125133;ff:ff:ff:ff:ff:ff;a2:0b:84:a6:e3:00;;1;-80;115;193;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 191, 255, 255, 221];[5271450];16.0;nan
2025-04-03 13:02:42.219022;ff:ff:ff:ff:ff:ff;be:9f:f2:58:e9:75;;1;-82;116;216;2462;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:42.872754;ff:ff:ff:ff:ff:ff;76:d1:03:d1:7b:de;;1;-74;117;1572;2422;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:47.410248;ff:ff:ff:ff:ff:ff;c2:6c:c8:67:1e:88;;1;-75;118;2848;2437;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:47.465428;ff:ff:ff:ff:ff:ff;c2:6c:c8:67:1e:88;;1;-76;119;2849;2442;;SSID_56211587;[0, 1, 50, 3, 45, 127, 255, 221, 221, 221];[6130, 20722, 4120];16.0;nan
2025-04-03 13:02:50.562234;ff:ff:ff:ff:ff:ff;8a:7d:3d:e2:40:ed;;1;-93;120;1141;2422;;;[0, 1, 50, 3, 45, 127, 255];[];16.0;nan
2025-04-03 13:02:50.581984;ff:ff:ff:ff:ff:ff;22:99:7a:71:ea:ff;;1;-55;121;390;2422;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
2025-04-03 13:02:50.649086;ff:ff:ff:ff:ff:ff;22:99:7a:71:ea:ff;;1;-56;122;391;2427;;;[0, 1, 50, 3, 45, 191, 221, 255, 127, 255, 221, 221];[20722, 5271450, 9240048];16.0;nan
